Dapma7bEVm020240	THAP9
Dapma7bEVm022481	
Dapma7bEVm029341	
Dapma7bEVm016833	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm022524	
Dapma7bEVm020419	
Dapma7bEVm017458	
Dapma7bEVm022538	
Dapma7bEVm020338	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm021153	
Dapma7bEVm022547	
Dapma7bEVm019587	
Dapma7bEVm020420	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm022553	
Dapma7bEVm022555	
Dapma7bEVm020970	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm029641	
Dapma7bEVm022587	
Dapma7bEVm016671	
Dapma7bEVm022079	
Dapma7bEVm020672	
Dapma7bEVm020863	
Dapma7bEVm022637	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm019309	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm020424	THAP9
Dapma7bEVm020567	C10orf56;ZCCHC24
Dapma7bEVm022648	
Dapma7bEVm020463	
Dapma7bEVm020755	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm029370	
Dapma7bEVm019634	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm024659	
Dapma7bEVm030045	
Dapma7bEVm022752	
Dapma7bEVm022770	
Dapma7bEVm022802	ALG12;ZBED1;ZBED4;ZBED6
Dapma7bEVm022828	
Dapma7bEVm030062	
Dapma7bEVm020216	H3.Y;H3F3A;H3F3B;H3F3C;HIST2H3A;HIST2H3C;HIST2H3D;HIST3H3
Dapma7bEVm011905	
Dapma7bEVm022892	
Dapma7bEVm022923	
Dapma7bEVm022925	
Dapma7bEVm022959	
Dapma7bEVm015407	TUBA1A;TUBA1B;TUBA1C;TUBA2;TUBA3C;TUBA3D;TUBA3E;TUBA4A;TUBA8;TUBAL3
Dapma7bEVm025302	
Dapma7bEVm024492	PDZD8
Dapma7bEVm023043	
Dapma7bEVm018431	ANKK1;RIPK4;dik
Dapma7bEVm015816	GMPS
Dapma7bEVm010256	COL26A1;EMID1;EMILIN1;EMILIN2;EMILIN3;MMRN1;MMRN2
Dapma7bEVm023169	
Dapma7bEVm023170	
Dapma7bEVm023190	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm015548	SLC7A11;SLC7A5;SLC7A6;SLC7A7;SLC7A8
Dapma7bEVm018978	GMPS
Dapma7bEVm018838	CSF1R;FLT1;FLT3;FLT4;KDR;KIT;PDGFRA;PDGFRB
Dapma7bEVm002456	
Dapma7bEVm023308	
Dapma7bEVm030122	
Dapma7bEVm018535	
Dapma7bEVm023366	CYP2A13;CYP2A6;CYP2A7;CYP2B6;CYP2C18;CYP2C19;CYP2C8;CYP2C9;CYP2D6;CYP2D7;CYP2E1;CYP2F1;CYP2J2;CYP2R1;CYP2S1;CYP2U1;CYP2W1;DKFZp686I24235
Dapma7bEVm023390	
Dapma7bEVm023409	EIF4G1;EIF4G3
Dapma7bEVm020928	H3.Y;H3F3A;H3F3B;H3F3C;HIST2H3A;HIST2H3C;HIST2H3D;HIST3H3
Dapma7bEVm021188	H2AFJ;H2AFX;HIST1H2AA;HIST1H2AB;HIST1H2AC;HIST1H2AD;HIST1H2AE;HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AJ;HIST1H2AK;HIST1H2AL;HIST1H2AM;HIST2H2AA3;HIST2H2AA4;HIST2H2AB;HIST2H2AC;HIST3H2A
Dapma7bEVm023463	
Dapma7bEVm008415	
Dapma7bEVm018865	
Dapma7bEVm023503	
Dapma7bEVm023512	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm030152	
Dapma7bEVm023540	ALG12;ZBED1;ZBED4;ZBED6
Dapma7bEVm023559	
Dapma7bEVm023568	THAP12
Dapma7bEVm023591	ALG12;ZBED1;ZBED4;ZBED6
Dapma7bEVm023603	
Dapma7bEVm024646	OR2V1;OR2V2
Dapma7bEVm018708	
Dapma7bEVm019889	GIN1
Dapma7bEVm030186	
Dapma7bEVm019048	
Dapma7bEVm023748	
Dapma7bEVm023745	
Dapma7bEVm015647	GUCY1A1;GUCY1A2;GUCY1B1
Dapma7bEVm030214	ASPRV1
Dapma7bEVm023835	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm023861	
Dapma7bEVm030231	
Dapma7bEVm012200	GMPS
Dapma7bEVm030257	
Dapma7bEVm024009	THAP9
Dapma7bEVm024016	
Dapma7bEVm024013	
Dapma7bEVm024087	
Dapma7bEVm030291	
Dapma7bEVm024110	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm024124	
Dapma7bEVm024139	
Dapma7bEVm024156	THAP9
Dapma7bEVm014828	C17orf113;KIAA1586
Dapma7bEVm024179	
Dapma7bEVm030308	
Dapma7bEVm024221	
Dapma7bEVm018646	
Dapma7bEVm030327	GIN1
Dapma7bEVm024252	
Dapma7bEVm030331	
Dapma7bEVm030343	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm030345	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm030348	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm024333	
Dapma7bEVm030357	
Dapma7bEVm024358	
Dapma7bEVm024396	HSPA12A;HSPA12B
Dapma7bEVm016699	
Dapma7bEVm024443	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm030371	
Dapma7bEVm024467	C8orf33;LOC105373926;LOC105374103;LOC105376526;LOC105376906;LOC105379356;LOC107984745;LOC112267992;RTL1
Dapma7bEVm017024	MYH10;MYH11;MYH14;MYH9
Dapma7bEVm020677	RPL27A
Dapma7bEVm016528	AKR1A1;AKR1B1;AKR1B10;AKR1B15;AKR1D1;AKR1E2;HEL-S-165mP
Dapma7bEVm019375	LIPT1;MITD1
Dapma7bEVm020900	RPS24
Dapma7bEVm019412	DLD
Dapma7bEVm020227	ARHA;RHOA;RHOB;RHOC
Dapma7bEVm019760	RPL7A
Dapma7bEVm024617	JUN;JUNB;JUND
Dapma7bEVm025281	
Dapma7bEVm008225	CFAP97D1;CFAP97D2
Dapma7bEVm029117	
Dapma7bEVm029162	COL6A1;COL6A2
Dapma7bEVm007184	
